"District","R25_2020","R30_2000","R31_2000","R31_2022","R40_2012","R48_2014","R67_2016","R72_2004","R94_2008","R95_2008","R96_2008","R97_2008","Average_Ref"
34,0.729,0.768,0.784,NA,NA,NA,0.649,0.623,0.599,0.6,0.599,0.599,0.661111111111111
35,0.622,0.705,0.727,NA,NA,0.489,0.447,0.486,0.565,NA,0.564,NA,0.575625
36,0.639,0.243,0.226,NA,NA,0.384,0.633,0.557,0.625,0.626,0.625,0.623,0.5181
37,0.495,0.735,0.743,0.653,NA,NA,0.616,0.617,0.632,0.633,0.633,0.632,0.6389
38,0.642,0.301,0.284,0.64,NA,NA,0.556,0.605,0.622,0.623,0.622,0.621,0.5516
39,NA,NA,0.705,0.552,NA,0.4,0.577,0.656,0.643,0.644,0.643,0.642,0.606888888888889
40,0.602,0.621,0.652,NA,NA,NA,NA,0.52,NA,NA,NA,NA,0.59875
41,0.441,0.418,NA,0.642,NA,NA,0.548,0.492,0.401,0.401,0.401,0.402,0.460666666666667
42,0.627,0.507,0.46,0.637,NA,0.437,0.571,0.582,0.58,0.419,0.581,0.42,0.529181818181818
43,0.447,0.349,0.325,0.647,NA,0.567,0.632,0.561,0.583,NA,0.583,NA,0.521555555555556
44,0.414,0.335,0.313,0.694,NA,0.402,0.514,NA,NA,NA,NA,NA,0.445333333333333
45,0.439,0.393,0.36,0.59,NA,NA,0.598,0.735,0.584,NA,0.586,NA,0.535625
46,0.483,0.36,0.324,0.665,NA,0.46,0.652,0.76,0.614,0.613,0.612,0.61,0.559363636363636
47,0.426,0.465,0.435,0.583,NA,NA,NA,0.704,0.557,0.558,0.557,0.555,0.537777777777778
48,NA,0.46,0.454,0.606,NA,NA,0.466,0.825,0.55,0.551,0.548,0.546,0.556222222222222
49,0.42,0.326,0.295,0.678,NA,0.369,0.522,0.583,NA,NA,NA,NA,0.456142857142857
50,0.506,0.263,0.252,0.585,NA,0.485,0.71,NA,0.609,NA,0.608,NA,0.50225
51,0.471,0.387,0.372,0.745,NA,NA,0.685,0.699,0.565,NA,0.565,NA,0.561125
52,NA,0.389,0.379,0.742,NA,NA,0.438,0.811,NA,NA,NA,NA,0.5518
53,0.494,NA,0.695,0.577,NA,0.466,0.661,0.47,0.59,0.591,0.591,0.59,0.5725
54,0.535,0.299,0.274,0.684,NA,0.462,0.686,0.477,0.595,NA,0.596,NA,0.512
55,0.636,0.372,0.355,NA,NA,0.648,0.595,0.612,NA,NA,NA,NA,0.536333333333333
56,0.406,0.256,0.243,0.625,NA,NA,0.516,0.553,0.609,0.611,0.61,0.609,0.5038
57,0.408,0.291,0.272,0.673,NA,NA,0.472,0.585,NA,NA,NA,NA,0.450166666666667
58,0.57,0.726,0.742,0.555,NA,0.38,0.491,0.568,0.609,0.61,0.609,0.608,0.588
59,0.494,NA,0.735,0.557,NA,0.351,0.587,0.606,0.595,0.596,0.595,0.594,0.571
60,0.64,0.275,0.262,0.565,NA,0.64,0.622,0.628,0.604,0.604,0.604,0.603,0.549727272727273
61,0.423,NA,0.76,0.702,NA,0.383,0.426,0.546,0.603,0.604,0.602,0.602,0.5651
62,0.518,0.301,0.28,0.624,NA,NA,0.613,0.607,0.625,0.627,0.625,0.624,0.5444
63,0.443,0.744,0.756,0.522,NA,0.391,0.519,0.572,0.617,0.619,0.617,0.616,0.583272727272727
64,0.483,0.737,0.746,0.603,NA,0.347,NA,0.582,0.63,0.63,0.629,0.63,0.6017
65,0.586,0.257,0.237,0.645,NA,0.366,0.569,0.569,0.62,0.622,0.62,0.62,0.519181818181818
66,0.418,0.773,0.784,0.653,NA,0.379,0.505,0.625,0.603,0.603,0.601,0.602,0.595090909090909
67,0.671,NA,0.741,NA,NA,0.632,0.655,0.617,0.607,0.607,0.606,0.606,0.638
68,0.608,0.293,0.267,NA,NA,NA,0.589,NA,0.604,0.605,0.604,0.603,0.521625
69,NA,0.678,0.714,NA,NA,0.606,0.488,0.585,0.606,0.606,0.604,0.604,0.610111111111111
70,NA,0.694,NA,0.565,NA,0.414,0.58,0.631,0.598,0.598,0.598,0.598,0.586222222222222
71,0.678,0.256,0.245,NA,NA,NA,0.615,0.663,0.613,0.613,0.612,0.613,0.545333333333333
72,0.622,0.756,0.767,NA,NA,0.384,0.579,NA,0.584,0.584,0.583,0.583,0.604666666666667
73,0.647,0.265,0.248,0.367,NA,NA,0.586,0.637,0.614,0.614,0.612,0.614,0.5204
74,0.585,0.768,0.789,0.573,NA,0.635,0.527,0.622,0.607,0.607,0.597,0.607,0.628818181818182
75,0.64,0.21,0.193,NA,NA,NA,0.578,0.611,0.609,0.608,0.594,0.607,0.516666666666667
76,NA,0.738,0.762,0.599,NA,0.403,0.465,0.518,NA,NA,NA,NA,0.580833333333333
77,0.577,0.764,0.787,0.663,NA,0.599,0.489,0.621,0.559,0.559,0.548,0.559,0.611363636363636
78,0.528,NA,0.752,0.645,NA,NA,0.643,0.481,0.595,0.593,0.587,0.593,0.601888888888889
79,0.452,NA,0.755,0.604,NA,0.42,0.535,0.57,0.593,0.592,0.587,0.592,0.57
80,0.454,0.256,0.243,0.606,NA,0.428,0.564,0.474,0.642,0.643,0.641,0.644,0.508636363636364
